title,parenttask,maxxp
C1_CoreProgram,NULL,3000
C2_SimpleBashUtils,C1_CoreProgram,350
C3_Stringplus,C2_SimpleBashUtils,690
C4_Math,C2_SimpleBashUtils,300
C5_Decimal,C2_SimpleBashUtils,350
C6_Matrix,C5_Decimal,200
C7_SmartCalc_v1,C6_Matrix,650
C8_3DViewer_v1,C7_SmartCalc_v1,1043
D01_Linux,C3_Stringplus,300
D02_Linux_Nexwork,D01_Linux,350
D03_LinuxMonitoring_v1,D02_Linux_Nexwork,350
D04_LinuxMonitoring_v2,D03_LinuxMonitoring_v1,350
D05_SimpleDocker,D03_LinuxMonitoring_v1,300
D06_CICD,D05_SimpleDocker,300
CPP1_s21_matrix,C8_3DViewer_v1,300
CPP2_s21_containers,CPP1_s21_matrix,501
CPP3_SmartCalc_v2,CPP2_s21_containers,750
CPP4_3DViewer_v2,CPP3_SmartCalc_v2,1050
CPP7_MLP,CPP4_3DViewer_v2,700
A1_Maze,CPP4_3DViewer_v2,300
A2_SimpleNavigator_v1,A1_Maze,400
A3_Parallels,A2_SimpleNavigator_v1,300
A6_Transactions,A2_SimpleNavigator_v1,700
A8_Algorithmic_trading,A2_SimpleNavigator_v1,800
SQL1_Pool,C8_3DViewer_v1,1500
SQL2_Info21_v1,SQL1_Pool,500
SQL3_RetailAnalitycs_v1,SQL2_Info21_v1,600
